"","f_boxer","s_boxer","f_boxer_result","f_boxer_stance","f_boxer_age","f_boxer_height","f_boxer_reach","f_boxer_won","f_boxer_lost","f_boxer_drawn","f_boxer_KOs","f_boxer_ranking","s_boxer_ranking","s_boxer_age","s_boxer_stance","s_boxer_reach","s_boxer_height","s_boxer_won","s_boxer_lost","s_boxer_drawn","s_boxer_KOs","rounds","s_boxer_result","matchRounds","fightEnd"
"1","Kubrat Pulev","Danny Batchelder","won","orthodox",28,"194","202",6,0,0,4,11,NA,33,"orthodox","191","185cm",25,7,1,12,"Kubrat Pulev
    
      
      
    
                    
won TKO
        
round 2","lost","2","KO/TKO"
"2","Kubrat Pulev","Kevin Johnson","won","orthodox",35,"194","202",24,1,0,13,11,97,37,"orthodox","208","191cm",30,7,1,14,"Kubrat Pulev
    
      
      
    
                    
won UD
        
round 12","lost","2","UD"
"3","Kubrat Pulev","Tony Thompson","won","orthodox",32,"194","202",17,0,0,9,11,NA,41,"southpaw","207","196cm",38,3,0,26,"Kubrat Pulev
    
      
      
    
                    
won UD
        
round 12","lost","2","UD"
"4","Kubrat Pulev","Michael Sprott","won","orthodox",30,"194","202",14,0,0,6,11,NA,36,"orthodox","","187cm",36,17,0,17,"Kubrat Pulev
    
      
      
    
                    
won RTD
        
round 9","lost","9","RTD"
"5","Kubrat Pulev","Alexander Ustinov","won","orthodox",31,"194","202",16,0,0,8,11,83,35,"orthodox","","202cm",27,0,0,21,"Kubrat Pulev
    
      
      
    
                    
won KO
        
round 11","lost","1","KO/TKO"
"6","Kubrat Pulev","Gbenga Oluokun","won","orthodox",28,"194","202",2,0,0,2,11,NA,26,"orthodox","","185cm",17,2,0,10,"Kubrat Pulev
    
      
      
    
                    
won UD
        
round 6","lost","6","UD"
"7","Kubrat Pulev","George Arias","won","orthodox",34,"194","202",20,1,0,11,11,NA,41,"orthodox","","181cm",56,13,0,42,"Kubrat Pulev
    
      
      
    
                    
won UD
        
round 8","lost","8","UD"
"8","Kubrat Pulev","Maurice Harris","won","orthodox",34,"194","202",21,1,0,11,11,NA,39,"orthodox","203","193cm",26,20,3,11,"Kubrat Pulev
    
      
      
    
                    
won KO
        
round 1","lost","1","KO/TKO"
"9","Kubrat Pulev","Derric Rossy","won","orthodox",30,"194","202",11,0,0,5,11,NA,30,"orthodox","194","191cm",25,3,0,14,"Kubrat Pulev
    
      
      
    
                    
won TKO
        
round 5","lost","5","KO/TKO"
"10","Kubrat Pulev","Ivica Perkovic","won","orthodox",32,"194","202",19,0,0,10,11,NA,39,"orthodox","193","193cm",20,23,0,15,"Kubrat Pulev
    
      
      
    
                    
won RTD
        
round 3","lost","3","RTD"
"11","Kubrat Pulev","Evgeny Orlov","won","orthodox",28,"194","202",7,0,0,5,11,NA,31,"orthodox","","207cm",11,6,1,8,"Kubrat Pulev
    
      
      
    
                    
won DQ
        
round 7","lost","7","DQ"
"12","Kubrat Pulev","Isossa Mondo","won","orthodox",28,"194","202",5,0,0,3,11,383,30,"orthodox","","",3,2,0,2,"Kubrat Pulev
    
      
      
    
                    
won RTD
        
round 3","lost","3","RTD"
"13","Kubrat Pulev","Matt Skelton","won","orthodox",28,"194","202",4,0,0,2,11,NA,43,"orthodox","","191cm",22,4,0,19,"Kubrat Pulev
    
      
      
    
                    
won KO
        
round 4","lost","4","KO/TKO"
"14","Kubrat Pulev","Bogdan Dinu","won","orthodox",37,"194","202",26,1,0,13,11,114,32,"orthodox","","196cm",18,1,0,14,"Kubrat Pulev
    
      
      
    
                    
won KO
        
round 7","lost","7","KO/TKO"
"15","Kubrat Pulev","Florian Benche","won","orthodox",28,"194","202",0,0,0,0,11,NA,27,"southpaw","","190cm",2,3,0,0,"Kubrat Pulev
    
      
      
    
                    
won TKO
        
round 2","lost","2","KO/TKO"
"16","Alexander Dimitrenko","Kubrat Pulev","lost","orthodox",29,"201","208",32,1,0,21,56,11,31,"orthodox","202","194cm",15,0,0,7,"Alexander Dimitrenko","won","","Unknown"
"17","Kubrat Pulev","Zack Page","won","orthodox",28,"194","202",3,0,0,2,11,NA,36,"orthodox","","183cm",19,25,2,7,"Kubrat Pulev
    
      
      
    
                    
won UD
        
round 6","lost","6","UD"
"18","Kubrat Pulev","Paolo Vidoz","won","orthodox",29,"194","202",9,0,0,5,11,NA,40,"orthodox","","191cm",26,9,0,15,"Kubrat Pulev
    
      
      
    
                    
won UD
        
round 8","lost","8","UD"
"19","Wladimir Klitschko","Kubrat Pulev","won","orthodox",38,"198","206",62,3,0,52,NA,11,33,"orthodox","202","194cm",20,0,0,11,"Wladimir Klitschko
    
      
      
    
                    
won KO
        
round 5","lost","5","KO/TKO"
"20","Kubrat Pulev","Maksym Pedyura","won","orthodox",30,"194","202",12,0,0,6,11,635,33,"orthodox","196","194cm",13,1,1,11,"Kubrat Pulev
    
      
      
    
                    
won UD
        
round 8","lost","8","UD"
"21","Kubrat Pulev","Joey Abell","won","orthodox",32,"194","202",18,0,0,9,11,131,32,"southpaw","193","193cm",29,6,0,28,"Kubrat Pulev
    
      
      
    
                    
won RTD
        
round 4","lost","4","RTD"
"22","Kubrat Pulev","Travis Walker","won","orthodox",30,"194","202",13,0,0,6,11,NA,32,"orthodox","208","194cm",38,6,1,30,"Kubrat Pulev
    
      
      
    
                    
won UD
        
round 12","lost","2","UD"
"23","Kubrat Pulev","Yaroslav Zavorotnyi","won","orthodox",29,"194","202",10,0,0,5,11,NA,36,"orthodox","191","193cm",14,5,0,12,"Kubrat Pulev
    
      
      
    
                    
won UD
        
round 8","lost","8","UD"
"24","Dereck Chisora","Kubrat Pulev","lost","orthodox",32,"187","188",25,5,0,17,9,11,35,"orthodox","202","194cm",22,1,0,12,"Dereck Chisora","won","","Unknown"
"25","Kubrat Pulev","Samuel Peter","won","orthodox",35,"194","202",23,1,0,12,11,184,36,"orthodox","196","188cm",36,5,0,29,"Kubrat Pulev
    
      
      
    
                    
won RTD
        
round 3","lost","3","RTD"
"26","Kubrat Pulev","Dominick Guinn","won","orthodox",29,"194","202",8,0,0,5,11,209,35,"orthodox","198","188cm",33,6,1,22,"Kubrat Pulev
    
      
      
    
                    
won UD
        
round 8","lost","8","UD"
"27","Kubrat Pulev","Hughie Fury","won","orthodox",37,"194","202",25,1,0,13,11,26,24,"orthodox","203","198cm",21,1,0,11,"Kubrat Pulev
    
      
      
    
                    
won UD
        
round 12","lost","2","UD"
"28","Kubrat Pulev","Rydell Booker","won","orthodox",38,"194","202",27,1,0,14,11,160,38,"orthodox","201","191cm",26,2,0,13,"Kubrat Pulev
    
      
      
    
                    
won UD
        
round 10","lost","0","UD"
"29","Kubrat Pulev","Serdar Uysal","won","orthodox",28,"194","202",1,0,0,1,11,NA,38,"southpaw","","",9,8,2,4,"Kubrat Pulev
    
      
      
    
                    
won TKO
        
round 4","lost","4","KO/TKO"
"30","Tyson Fury","John McDermott","won","orthodox",21,"206","216",10,0,0,8,1,NA,30,"orthodox","","191cm",25,6,0,16,"Tyson Fury
    
      
      
    
                    
won TKO
        
round 9","lost","9","KO/TKO"
"31","Tyson Fury","Rich Power","won","orthodox",22,"206","216",11,0,0,9,1,NA,30,"","","",12,0,0,9,"Tyson Fury
    
      
      
    
                    
won PTS
        
round 8","lost","8","Unknown"
"32","Tyson Fury","Scott Belshaw","won","orthodox",20,"206","216",5,0,0,5,1,NA,23,"orthodox","","201cm",10,1,0,7,"Tyson Fury
    
      
      
    
                    
won TKO
        
round 2","lost","2","KO/TKO"
